,sentence,category
42,मस्यौदामा राजनीतिक दलको केन्द्रीय समितिका पदाधिकारी र सदस्यले आफ्नो नाममा रहेको चल/अचल सम्पतिको विवरण निर्वाचित भएको तीन महिनाभित्र केन्द्रीय कार्यालयमार्फत आयोगमा बुझाउनुपर्ने प्रस्ताव पनि छ ,National
43," गोल्डेन हृयाण्डसेक विधि अपनाएको मुलुकमा बसे हुन्थ्यो भन्ने मान्छे जान्छ, गए हुन्थ्यो भन्ने मान्छे बस्छ ",National
44," नेपाली राष्ट्रिय महिला फुटबल टिमकी कप्तान जमुना गुरुङ, राष्ट्रिय महिला भलिबल खेलाडी सिपोरा गुरुङ लगायतका खेलाडीहरुको उपचार ग्रान्डीमा नै गराएका थिए ",Sports
45,” जेलर पौडेलले कारागारको अवस्थाका बारेमा सम्बन्धित निकायमा जानकारी गराउँदासमेत समस्या समाधान हुन नसकेको बताए ,National
46," उनले भन्छन्, “मन्त्री आएर उद्घाटन गरेपछि मान्छेको भीडभाड हुनुपर्छ, भरे रेडियो टेलिभिजनमा आउनुपर्छ, कस्तो ठाउँमा ल्याइस् ? प्वाक्क मुखाँ हान्नु जस्तो ",Entertainment
47, सल्लीपिरमाथि समीक्षा गर्दै मदन पुरस्कार विजेता श्रष्टा अमर न्यौपानेले यो उपन्यास हिमाल जस्तै विशाल र हिउँ जस्तै सफा रहेको टिप्पणी गरे ,Entertainment
48, अभ्यासबिनै दौडिँदा हार्ने र हारेपछि ओलम्पिक÷सागमा खेल्न नपाउने भनेर उनलाई अन्तर्राष्ट्रिय खेल खेल्न पाकिस्तान पठाइएको थियो ,Entertainment
49, भूकम्पले तहसनहस बनाएको लाङटाङको पदमार्ग घोरेटो बाटोमा निर्माण गरी आवतजावत सहज बनाइन लागिएको हो ,Economy
50,”उनले भने अधिकांश चालक स्टेरिङ समाउने र ब्रेक लगाउन मात्र जानेका छन् ,National
51, उनका अनुसार विगतमा सेयर संख्या कम हुँदा सेयर मूल्य बढेका कारणले समग्र नेप्से पनि बढेको थियो ,Economy
52, संघका अध्यक्ष एवं सांसद पवनकुमार सारडाले नेपाल सरकारले छिटोभन्दा छिटो जग्गा हस्तान्तरण गरेर एकीकृत जाँच बिन्दुको निर्माण सम्पन्न गर्न सहयोग गर्नुपर्ने धारणा प्रकट गरे ,Economy
53,कमला डाइभर्सनभन्दा माथि पानी फाल्यो भने टनेलको लेन्थ पनि एकदमै लामो हुने भएकाले यसलाई अलिकति समस्या पर्न सक्छ ,National
54," राम्रो टीम,र मेहेनत गरियो भने उत्कृष्ट भिडियोको लागि बाहिर जानुनपर्ने बुटवल मै भरपुर सम्भावना रहेको अबिरल फिल्म्सका निर्देसक बिष्णु भट्टराई ले बताउनु भयो ",Entertainment
55,भ्रमणको अन्तिम दिन बुधबार प्रधानमन्त्री ओली पत्नी राधिका शाक्य तथा भ्रमण दलमा सहभागी मन्त्री र भारतका लागि नेपाली राजदूतसहित युनिलिभर कार्यालय पुगेका थिए,Economy
56, उनले आफ्नो नयाँ फिल्म रोयुमा एकसाथ काम गरेका रणवीर कपुरको पनि कुरा गरिनन् ,Entertainment
57,"त्यसैगरी सांसद तथा नेपाली कांग्रेसका सहकारी विभाग प्रमुख बालकृष्ण खाँडले सहकारीकर्मीले देखाएको दृढता, क्षमता प्रति मुल्याकंन गरी राज्य संचाकहरुले पाठ सिक्नुपर्ने धारणा राखे ",Economy
58, भण्डारण क्षमता कम भएका कारण बन्द–हड्ताल तथा नाकाबन्दीका बेला उपभोक्ता मारमा परेको समितिको ठहर छ ,Economy
59,सप्तरीको हनुमाननगरमा आइतवार आयोजित विरोधसभालाई सम्बोधन गर्दै उनले यस्तो कुरा बताएका हुन् ,National
60, प्रधानन्यायाधीश सुशीला कार्कीले तत्कालीन प्रधानन्यायाधीश र कानुनमन्त्रीले नमान्दा नमान्दै आफूले नै सपना मल्ल प्रधानलाई सर्वोच्चको न्यायाधीश सिफारिस गर्न लगाएको बताएकी छन् ,National
61,अन्तरक्रियामा सहभागी वक्ताहरुले जारी मधेस आन्दोलनलाई एकीकृत रुपमा सञ्चालन हुनुपर्ने राय प्रस्तुत गरे ,National
62,लगानी आवश्यकसाग इतिहासकै कीर्तिमानी खेलाडीका रूपमा परिचित दीपक विष्टले नेपालको खेलकुद विकास गर्न लगानीे आवश्यक रहेको बताएका छन् ,Sports
63,भौतिक निर्माण प्रमुख रेग्मीकाअनुसार सौर्यपताको सफाइ र बत्तीको मर्मतमा अर्को आर्थिक वर्षदेखि महानगरपालिकाले काम थाल्नेछ ,National
64,नदीमा अत्यधिक बहाव बढेकाले दुई दिनदेखि बुटवल पावर कम्पनीको उत्पादन बन्द भएको छ ,National
65, एसएलसी पास भए पनि सोचेजस्तो अंक नआएपछि उनले कमर्स पनि पढ्न पाएनन् ,Entertainment
66," हामीले सहयोगस्वरूप प्रशिक्षक, स्टेससनरी, घाँसका बीउबिजनमात्रै लिने गरेका छौं ",Economy
67, राईलाई बिहीबार साँझ अन्तर्राष्ट्रिय बिमानस्थलमा शेरबहादुर खड्का स्मृति प्रतिष्ठानका अध्यक्ष रन्जन खड्काले विदाई गरे ,Sports
68, उनी रुचिपूर्वक वृत्तचित्र नियाल्थे र त्यस्तै कलाकार बन्छु भन्ने अठोट मनमा पाल्थे ,Entertainment
69, स्थानीय तहको संरचना दलितहरुको बाहुल्य क्षेत्रलाई मिलाएर गाउँपालिका र नगरपालिका बनाए मात्र दलित समुदायका उम्मेदवार जित्ने सुनिश्चितता हुने एक कार्यक्रमका वक्ताहरुले बताएका छन् ,National
70,  सपनामा आफूलाई डुङ्गामा बसेर कुनै नदी पार गरिरहेको देख्नु टाढाको यात्राको योग भन्ने बुझिन्छ ,Entertainment
71, सरकारले पब्लिक ट्रान्सपोर्टेसनलाई व्यवस्थित गर्न नसकिरहँदा व्यक्तिको उत्पादकत्वसँग जोडिएको सवारीका लागि पनि आवश्यक पूर्वाधारहरु खडा गर्नुपर्छ ,National
72, सिक्किमले पर्यटनलाई विकासको पहिलो आधार मानेकै कारण बर्सेनि ठूलो संख्यामा आन्तरिक तथा बाह्य पर्यटक भित्र्याउन सम्भव भएको उनको भनाइ छ ,Economy
73, शुरूमा आशौच बारेकाहरूले सेतो प्रयोग गर्ने गरे पनि पछि यी दुवै रंगका जुत्ता लोकप्रिय भए,Entertainment
74,बुधबार आयोजित कार्यक्रममा प्रतिष्ठानको तर्फबाट नयाँ शक्ति नेपाल पार्टीको संयोजक डा. बाबुराम भटराईले सम्मान गरे ,Sports
75, उनका अनुसार सरकारले वार्ताका लागि संघीय गठबन्धनलाई पत्र पठाउन तयार छ ,National
76, साफका सात मुलुकका टोलीको अलावा अफगानिस्तानलाई पनि सहभागी गराउने निर्णय साफ बैठकले गरेको छ ,Sports
77,"“परिवारकै सल्लाहमा नयाँ सम्बन्ध शुरु गरिरहँदा खुशी लागेको छ,” दाहालले भने, “लामो समय एकल जीवन बिताउनुभन्दा वैवाहिक सम्बन्धमा जोडिएर नयाँ जीवन शुरु गर्नु उचित लाग्यो ",Entertainment
78,‘पहाडले मधेश बुझेन’ गिरीशको यो पुस्तक पनि यही पुरानै टिप्पणीमै केन्द्रित छ,Entertainment
79, दक्षिण एशियाली फुटबल फेडेरेशन साफले सदस्य मुलुकका घरेलु च्याम्पियनहरु समेटेर आयोजना गर्ने भनिएको साफ क्लब कप प्रतियोगिता अन्यौलमा परेको छ ,Sports
80,सिक्किम चेम्वरका अध्यक्ष शारदाले सम्झौताले दुई चेम्वरबीच सम्वन्ध थप मजबुत भएको बताउँदै यसले दुवै देशका उद्यमी व्यवसायीको हक-हितका लागि प्रभावकारी भूमिका खेल्ने विश्वास व्यक्त गरे ,Economy
81, सिलोङस्थित निग्रिस्मको इन्डोर हलमा तेक्वान्दो इभेन्ट सुरु हुँदा रामहरि महतले कांस्य जितेका छन् ,Sports
82, खोरमा धेरै जाडो पनि हुन नदिनु र धेरै गर्मी पनि हुन नदिने कुरामा ध्यान दिनुपर्छ ,Economy
83," गीतकार नरेशले एल्बम व्यापारिक दृष्टिकोणले ननिकालेको जिकिर गर्दै भने, ‘मेरा गीत बढि भन्दा बढिले सुनुन् भन्ने मेरो ध्येय हो ",Entertainment
84, नेपाली राष्ट्रिय फुटवल टोलीका नवनियुक्त टेक्निकल डाइरेक्टर तेकेदा चियाकीले मंगलबारदेखि जिम्मेबारी संहालेका छन ,Sports
85,क्रिकेटको हितका लागि सहमतिविष्टले मुद्दा फिर्ता लिएर छलफलमा निर्वाचित क्यानलाई आउन आग्रह गरे ,Sports
86," साराैँ, भँगेराको गुँड भत्काउने, अर्काको बारीका काँक्रा चोर्ने, फर्सी फुटाउँदै हिँड्ने जस्ता बदमास गर्थे ",Entertainment
87,उनले स्थानीयलाई घरबारीमै पाइने अन्नको महत्व र त्यसमा पाइने पोषणबारे सम्झाइन् ,National
88,सरकारी तवरबाट यस्तो कम्पनी खडा गरेर बस खरीद गर्नेबारे स्थानीय विकास मन्त्रालयले प्रारम्भिक गृहकार्य गरेको छ ,Economy
89," आफ्नो बाल्यकालमा हजुरआमा र आमाहरुले पकाएर दिने जाउलो र रोटीमा पाइने पौष्टिक गुण तथा मह, बेसार, मेथी जस्ता वस्तुमा पाइने औषधीय विशेषता उनलाई थाहा थियो ",National
90," उनले भने, ‘अब सौखका लागि मात्रै बनाउँछु भनेर हैन की प्रोफेसन बनाउँछु भनेर आउनुहोस् ",Entertainment
91," तर, हारसंगै युनाइटेडको लिगको चौथो स्थानमा रहने सम्भावना कायमै भएपनि अन्य खेलमा भर पर्नु पर्ने भएको छ ",Sports
92, जन्मदिनको अवसर पारेर उनले गीतकारका रुपमा नयाँ एल्बम ‘हाईट’ सार्वजनिक गरे ,Entertainment
93,सदरमुकाम तानसेनको टुँडिखेल नजिकै रहेको ऐतिहासिक वीरेन्द्र फूलबारीको अवस्था नाजुक बन्दै गएको छ,Sports
94,उपभोक्ताले सिमेन्ट खरिद गर्दा सबै भन्दा पहिले सिमेन्ट उत्पादन कहिले भएको हो भनी बुझ्नलाई सिमेन्टको व्याच नम्बर हेर्नुपर्छ ,Economy
95," कर्णालीमा झडापखाला जस्तो सामान्य स्वास्थ समस्याको औषधिको अभावमा महामारी फैलिन्छ, त्यहाँ सरकारको ध्यान जाँदैन ",National
96, विहीबार बिहानै काठमाडौंको चन्द्रागिरिमा चार जना चोरले प्रहरीमाथि गोली चलाएको खबर आयो ,National
97, भारतीय रुपैयाँ (भारु)सँग नेपाली रुपैयाँको स्थिर विनिमयदर रहेकाले भारुकै आधारमा डलरको भाउ तोक्ने गरिन्छ ,Economy
98,"  सानैदेखि प्रतिभावान् र फिजिकल फिटनेसप्रति सचेत उनी नृत्य, फुटबल र जिम्न्यास्टिकका सोखिन पनि छन्",Entertainment
99, स्थानीयबासीको बसाइँ सर्ने क्रम बढेपछि उक्त विद्यालयमा विद्यार्थी संख्या घट्दै गएको हो,Sports
100, ‘पुरानो डुंगा’ नाम राखिएको उक्त फिल्मको सोमबार एक कार्यक्रम गरी जानकारी दिइयो ,Entertainment
101, बिहीबार राति विवादलाई साम्य पार्न स्थानीय कांग्रेसी नेता बुद्धिमान तामाङको घरमा छलफल भएको थियो ,National
102,"सडकको स्तरोन्नतिसँगै बाघमारे गाविसको बसेनी, गजुरे, गहुँखोरे तथा छिमेकी गाविस शान्तिनगरका तोरीखुती, एकराते, वैजारखुटीलगायतका गाउँ यो सडकबाट लाभान्वित हुने छन् ",Economy
103," उनले भने, ‘लामो समय अनुसन्धान हुँदा मलाई र मेरो परिवारलाई दिक्क लागिसकेको छ ",Sports
104, यसअघि अनलाइनखबरले उनको अमेरिकामा घर रहेको विवरण प्रकाशित गरेपछि त्यसलाई स्वीकार गर्दै उनले आफ्नो निर्माण व्यवसायको कमाइबाट सो घर किनेको बताएका थिए ,National
105, यसले कुनै घटना भयो कि सञ्चालकले मेरो मान्छे होइन भनेर उम्कन दिने छैन ,National
106, श्रेष्ठले सुटिङमा पछि परेका राष्ट्रलाई पहिलो प्राथमिकतामा राखी काम अगाडि बढाउने बताए ,Sports
107, उक्त म्याचमा नेपाली राष्ट्रिय टोलीले विश्व एघारसँग मैत्रीपुर्ण खेल खेल्नेछ ,Sports
108,"“रङसँग जति खेल्न सक्यो, उति आत्मविश्वास बढ्छ”, उनले साना कलाकारलाई भने, “थोरै रङले धेरै झ्ंकार पैदा गर्न सक्नु चित्रकारको कौशल हो ",Entertainment
109,उक्त प्रतियोगीता इन्डोर रहने जनसम्पर्क समितिका उपाध्यक्ष दिपक राज रिजालले बताएका छन् ,Sports
110," उहाँले भन्नुभयो, ‘म अचेल गिरीजाप्रसाद कोइरालाको मात्रै कार्टुन किन बनाउँछु थाहा छ? जो चर्चामा रहन्छन् उसैलाई प्रहार गर्ने त हो नि सबैले",Entertainment
111," विहीबार प्रधानमन्त्री निवास बालुवाटारमा बसेको मन्त्रिपरिषदको बैठकले शिक्षा, स्वास्थ्य, सामूदायिक भवन निर्माणलगायतमा मन्त्रालयहरुले सहयोग लिनसक्ने निर्णय गरेको हो ",National
112," मान्छे ओसार्ने मात्रै होइन, ढुवानीका साधनलाई पनि उत्तिकै प्राथमिकता दिनुपर्छ ",National
113,"विदेश र नेपालको अहिलेसम्मको अनुभवबाट उनले सिकेको पाठ यस्तो छ, ‘हाम्रो स्वास्थ्यका लागि डाक्टर, औषधि र अस्पताल मात्र हैन, हाम्रो संस्कृति र परम्परालाई पनि अनुशरण गरियो भने लाभदायक हुन्छ ",National
114,निरिक्षक चन्दको टोलिले घटनाको अनुसन्धानको क्रममा भने प्रेमले कुटपिट गरेर श्रीमतीलाई घरबाट निकालेको देखियो ,National
115, मार्गशीर्ष शुक्ल पूर्णिमाका दिन मनाइने योमह्री पुन्हिः अर्थात् योमह्री पूर्णिमा पर्व र उधौली पर्व आज मनाइँदैछ ,National
116,"दाजुभाईको अंशसम्बन्धि विवादको कथावस्तुमा आधारित यस चलचित्रका अन्य कलाकारहरुमा शुभेच्छा थापा, कृष्ण भट्ट, राजन सेढाँई, खुशी काफ्ले, नेहा र स्वयं निर्देशक राजु गीरी समेत रहेका छन् ",Entertainment
117, यदि हामीले आयरल्यान्डलाई पराजित गर्न सक्यौँ भने हामी दोस्रो चरणनजिक हुनेछौँ ,Sports
118,देशै भर भूकम्पले क्षति गर्दा धेरै नेपाली भूकम्प बाट पिडित बनेका छन् ,Entertainment
119,"त्यसैगरी वैकल्पिक खेलाडीमा कुशल भुर्तेल, ईर्साद अहमद, ललित नारायण राजवशी र नन्दन यादव छन् ",Sports
120, कतिपय ठाउँका महिलाहरु त घरको पौष्टिक खानेकुरा बेचेर प्याकेटका खानेकुरा बालबच्चालाई दिने गर्दा रहेछन् ,National
121, भातभान्छाको कुरामा महिलाहरु नै जोडिने भएकोले पोषणको महत्व बुझाउन उनले महिलाहरुकै आनीबानीलाई विचारिन् ,National
122," मैले भनेँ, ‘आमा, तपाईंले मलाई गुरुङ-मगर ठान्नुभएको छ, म त विश्वकर्मा हुँ ",National
123,नेपाली पर्यटनको सबैभन्दा बढी प्रचार जापानी महिला जुन्को ताबेईले सगरमाथा आरोहण गरेपछि भएको थियो ,Economy
124,अभियोजनकर्ताले दाबी गरेका छन् कि यो सबै काम उनका बाबुले गरेका हुन् र मेस्सी पूर्ण जानकार थिएनन् ,Sports
125, कयौ गर्भवती महिलाहरु कुपोषणकै कारण ज्यान गुमाउनुपर्ने अवस्था थियो ,National
126,"’बिज्ञप्तिमा भनिएको छ, ‘उनको रक्त नमूनाको परिक्षण गर्दा कोकिनको मात्रा पाइएको छ र यो प्रतिबन्धित लागू ओषध भएको विश्व एण्टी डोपिङ एजेन्सी वाडाले पनि प्रमाणित गरिसकेको छ ",Sports
127," त्यसभन्दाअघि पनि नीता र अमेशले तँ, म र ऊ फिल्ममा सँगै अभिनय गरेका थिए ",Entertainment
128, उनले आफूले हरेक निर्णय प्रक्रिया पुर्याएर गरेको भन्दै प्रतिवेदनमा सत्यता नभएको बताएका हुन् ,National
129, पूर्वाञ्चलका विभिन्न रमणीय स्थलमा छायाँकन गरिएको यो चलचित्र त्रिकोणात्मक प्रेमकथा तथा  एक्शन प्रधान रहेको छ,Entertainment
130, सरकारले रेडियो फ्रिक्वेन्सीको नीति संशोधन गरेर प्रविधि तटस्थताको नीति लिएसागै फोरजी सञ्चालनको बाटो खुलेको हो ,Economy
131,मधेसी मोर्चाका मागहरु सुन्नै नचाहने प्रधानमन्त्री उनीहरुप्रति नरम देखिन थालेका छन् ,National
132,गत वर्ष वैशाखमा आएको भूकम्पका कारण विकास निर्माण ठप्प हुँदा सरकारले पर्याप्त खर्च सकेको थिएन ,Economy
133, तोकिएको बिक्री मूल्य बराबर नेपाली रुपैयाँ दिएपछि बैंकले विदेशी मुद्रा बेच्छन् ,National
134, अहिलेसम्म उनी प्रतियोगितामा सर्वाधिक विकेट लिने खेलाडीको सूचीमा पहिलो नम्बरमा छन्,Sports
135,"  नीता र म प्रेममा छौँ,  अमेश भन्छन्,  दुवैजना एकै क्षेत्रका भएकाले हामीलाई निकै सजिलो भएको छ ",Entertainment
136,’उनले सरकार र सरोकारवाला सबैलाई पुनर्निर्माणका क्रममा गुणस्तर कम्प्रमाइज नगर्न आग्रह गरे ,Economy
137," “सरकाले आफ्नो प्रतिबद्धता पूरा गरोस्, सरकारको प्राथमिकतामा जनता पर्नुपर्छ,” उनी भन्छिन् ",Entertainment
138,चिट चोर्न नपाएपछि उत्तरपुस्तिका बुझाएर बाहिर निस्किएर उनीहरुले चारैतिरबाट ढुंगा हानेका थिए,Sports
139,घाइते सबैको पश्चिमाञ्चल क्षेत्रिय अस्पताल पोखरमा उपचार भइरहेको छ,Sports
140,सञ्चारकर्मी नरेश भट्टराईको शब्द रहेको गीतमा गायक स्वयमको संगीत रहेको छ ,Entertainment
141," “पुस्तक वीरगञ्जमार्फत समग्र मधेश चिनाउने आँखीझ्याल बन्ने विश्वास लिएको छु”, गिरीश भन्छन्",Entertainment
142,"शिक्षामन्त्री पौडेलले अनलाइनखबरसँग भने, ‘चिकित्सा शिक्षा ऐन छिट्टै संसदमा पेश गर्छौं ",National
143,अव रोनाल्डो आगामी बुधबार उनकै पूर्वक्लव स्पोर्टिङबिरुद्ध हुने खेलबाट च्याम्पियन्स लिगको उपाधि रक्षाको अभियान सुरुवात गर्नेछन् ,Sports
144," छोटा कपडा लगाएर नाङ्गै हिड्दा लोक संस्कृति बिग्रिएको भन्दै गायक पशुपतिले भने- दोहोरी गाउने भए लामो लुगा लगाए, नत्र गीतै नगाए ",Entertainment
145, नेपाल भारोत्तोलन संघका अध्यक्ष रतनकुमार टण्डन र महासचिव पार्थ सारथी सेन गुप्त पनि टोलीसंगै टोकियो जाँदैछन् ,Sports
146, महिला तर्फकै अर्को खेलमा बेलायती जोहन्ना कोनटाले रोमानियाकि मोनिका निकुलेस्कुलाई पराजित गर्दै क्वाटरफाइनलमा पुग्ने पहिलो बेलायती महिला खेलाडी बनिन् ,Sports
147,"उनले भने, ‘भन्सारको ढिलासुस्तीका कारण समयमै अस्थायी यार्ड सञ्चालन हुन नसक्दा उद्योगीले करोडौँ घाटा खानुपरेको छ ",Economy
148,विद्यालयमा नभेटिएका शिक्षकको हाजिर हेर्दा गयल समय अवधि एक दिनदेखि झन्डै छ वर्षसम्मको रहेको छ ,National
149, रियलका नयाँ प्रशिक्षक जिनेदिन जिदानले पूर्वप्रशिक्षक बेनेटिजसँग बेलको सम्बन्ध राम्रो नभएको जानकारी दिए ,Sports
